date,project,user,usage,gb,tb,size,count,d,proj
2020-09-19,dp9,pjs548,41.3GB,41.3,0.0412999999999999,41.1GB,95745,,aps4
2020-09-19,dp9,jrf548,2126GB,2126.0,2.126,2132GB,333500,,
2020-09-19,dp9,bf7468,1836kB,0.001836,1.836e-06,1832kB,2,,
2020-09-19,dp9,mrd599,1025MB,1.025,0.001025,1025MB,19,,admin
2020-09-19,dp9,sjr548,1824GB,1824.0,1.824,1857GB,2121061,,c3
2020-09-19,dp9,jb6931,332MB,0.332,0.000332,332MB,2,,
2020-09-19,dp9,cjb548,67.2GB,67.2,0.0672,67.2GB,29980,,b
2020-09-19,dp9,sss548,65.2GB,65.2,0.0652,66.7GB,5780,,
2020-09-19,dp9,fs5892,11.8TB,0.0118,11.8,13.1TB,399677,,
2020-09-19,dp9,mxk548,7150GB,7150.0,7.15,7367GB,919092,,aps4
2020-09-19,dp9,mjw548,357GB,357.0,0.357,357GB,24301,,
2020-09-19,dp9,ffb548,64.0kB,6.4e-05,6.4e-08,64.0kB,16,,
2020-09-19,dp9,nt4021,4.0kB,4e-06,4e-09,4.0kB,1,,
2020-09-19,dp9,rmb548,4.0kB,4e-06,4e-09,4.0kB,1,,
2020-09-19,dp9,ljr548,331GB,331.0,0.331,331GB,107830,,
2020-09-19,dp9,xds548,2193GB,2193.0,2.193,2231GB,207658,,
2020-09-19,dp9,cnf599,30.9TB,0.0309,30.9,35.9TB,256593,,urban
2020-09-19,dp9,ttl548,96.5GB,96.5,0.0965,94.7GB,343620,,c3
2020-09-19,dp9,mjn548,1007GB,1007.0,1.007,991GB,3330685,,
2020-09-19,dp9,slc548,198GB,198.0,0.198,198GB,132735,,c3
2020-09-19,dp9,hhz548,17.8TB,0.0178,17.8,20.8TB,1644635,,notsure
2020-09-19,dp9,kkp548,465GB,465.0,0.465,465GB,513,,
2020-09-19,dp9,bxr548,367MB,0.367,0.000367,367MB,75,,
2020-09-19,dp9,dhs548,8.0kB,8e-06,8e-09,8.0kB,2,,
2020-09-19,dp9,axs548,7915MB,7.915,0.007915,7909MB,2993,,
2020-09-19,dp9,as2291,1639GB,1639.0,1.639,1636GB,1073590,,notsure
2020-09-19,dp9,zhl548,342GB,342.0,0.342,342GB,160459,,
2020-09-19,dp9,yxm548,1694GB,1694.0,1.694,1733GB,147106,,notsure
2020-09-19,dp9,jtl548,16.9TB,0.0169,16.9,18.1TB,3329269,,c3
2020-09-19,dp9,hqz548,151GB,151.0,0.151,151GB,287,,
2020-09-19,dp9,ixd548,1615GB,1615.0,1.615,1614GB,503722,,notsure
2020-09-19,dp9,glr548,5246GB,5246.0,5.246,5295GB,2027677,,apept
2020-09-19,dp9,wml548,2606GB,2606.0,2.606,2623GB,367149,,admin
2020-09-19,dp9,zxs548,405GB,405.0,0.405,402GB,867355,,notsure
2020-09-19,dp9,dr8819,214GB,214.0,0.214,213GB,189479,,
2020-09-19,dp9,ycx548,9428GB,9428.0,9.428,9666GB,3522004,,aps4
2020-09-19,dp9,iib548,1268GB,1268.0,1.268,1282GB,2658491,,aps4
2020-09-19,dp9,nwe548,13.6GB,13.6,0.0136,13.7GB,45217,,
2020-09-19,dp9,gsd548,3280GB,3280.0,3.28,3279GB,431850,,
2020-09-19,dp9,ijb548,4.0kB,4e-06,4e-09,4.0kB,1,,
2020-09-19,dp9,chs548,211GB,211.0,0.211,230GB,65080,,urban
2021-05-13,dp9,mjw548,356.0GB,356.0,0.356,356.0GB,113,,
2021-05-13,dp9,mrd599,10.6GB,10.6,0.0106,10.6GB,175,,admin
2021-05-13,dp9,cjb548,67.2GB,67.2,0.0672,67.2GB,29980,,b
2021-05-13,dp9,ycx548,962.2GB,962.2,0.9622,961.8GB,205723,,aps4
2021-05-13,dp9,yxm548,1.7TB,0.0017,1.7,1.7TB,147106,,notsure
2021-05-13,dp9,glr548,6.9TB,0.0069,6.9,7.0TB,2454158,,apept
2021-05-13,dp9,cnf599,8.7TB,0.0087,8.7,8.7TB,214146,,urban
2021-05-13,dp9,ljr548,331.2GB,331.2,0.3312,331.0GB,107833,,
2021-05-13,dp9,hhz548,18.9TB,0.0189,18.9,18.9TB,1448121,,notsure
2021-05-13,dp9,zxs548,429.8GB,429.8,0.4298,427.9GB,1274833,,notsure
2021-05-13,dp9,mjn548,999.7GB,999.7,0.9997,991.2GB,3396907,,
2021-05-13,dp9,jtl548,4.8TB,0.0048,4.8,4.8TB,3014783,,c3
2021-05-13,dp9,iib548,2.4TB,0.0024,2.4,2.5TB,3281109,,aps4
2021-05-13,dp9,hqz548,151.1GB,151.1,0.1510999999999999,151.1GB,287,,
2021-05-13,dp9,rmb548,4.0kB,4e-06,4e-09,4.0kB,1,,
2021-05-13,dp9,zhl548,346.4GB,346.4,0.3464,346.1GB,160712,,
2021-05-13,dp9,ixd548,2.4TB,0.0024,2.4,2.4TB,525076,,notsure
2021-05-13,dp9,wml548,2.6TB,0.0026,2.6,2.6TB,366288,,admin
2021-05-13,dp9,bxr548,252.0GB,252.0,0.252,252.0GB,177,,
2021-05-13,dp9,ttl548,138.0GB,138.0,0.138,137.3GB,343629,,c3
2021-05-13,dp9,pjs548,19.8GB,19.8,0.0198,19.6GB,72879,,aps4
2021-05-13,dp9,gsd548,9.3GB,9.3,0.0093,9.0GB,173426,,
2021-05-13,dp9,sjr548,2.8TB,0.0028,2.8,2.8TB,2844468,,c3
2021-05-13,dp9,vvk548,13.7TB,0.0137,13.7,13.7TB,1497891,,urban
2021-05-13,dp9,xds548,2.1TB,0.0021,2.1,2.1TB,207617,,
2021-05-13,dp9,cit548,2.6TB,0.0026,2.6,2.6TB,217472,,
2021-05-13,dp9,slc548,478.6GB,478.6,0.4786,478.2GB,176805,,c3
2021-05-13,dp9,jrf548,755.1GB,755.1,0.7551,754.6GB,207581,,
2021-05-13,dp9,sss548,66.7GB,66.7,0.0667,66.7GB,5780,,
2021-05-13,dp9,axs548,7.7GB,7.7,0.0077,7.7GB,2993,,
2021-05-13,dp9,ffb548,64.0kB,6.4e-05,6.4e-08,64.0kB,16,,
2021-05-13,dp9,dhs548,8.0kB,8e-06,8e-09,8.0kB,2,,
2021-05-13,dp9,kkp548,465.3GB,465.3,0.4653,465.3GB,513,,
2021-05-13,dp9,ijb548,4.0kB,4e-06,4e-09,4.0kB,1,,
2021-05-13,dp9,nwe548,13.7GB,13.7,0.0136999999999999,13.6GB,45209,,
2021-05-13,dp9,chs548,227.7GB,227.7,0.2276999999999999,227.6GB,59913,,urban
2021-05-13,dp9,yxz548,71.8MB,0.0718,7.18e-05,71.8MB,8,,
2021-05-13,dp9,mxk548,4.1TB,0.0040999999999999,4.1,4.1TB,902523,,aps4
2021-05-13,dp9,fs5892,16.9GB,16.9,0.0169,16.3GB,287955,,
2021-05-13,dp9,as2291,1.2TB,0.0012,1.2,1.2TB,1095242,,notsure
2021-05-13,dp9,jb6931,332.1MB,0.3321,0.0003321,332.1MB,2,,
2021-05-13,dp9,dl9118,23.7GB,23.7,0.0237,23.6GB,25559,,ngms
2021-05-13,dp9,bf7468,4.0kB,4e-06,4e-09,4.0kB,2,,
2021-05-13,dp9,dr8819,73.6GB,73.6,0.0736,72.9GB,348147,,
2021-05-13,dp9,nt4021,4.0kB,4e-06,4e-09,4.0kB,1,,
2021-05-13,dp9,sb0446,152.9GB,152.9,0.1529,152.8GB,7172,,
2021-05-13,dp9,gl7525,394.5MB,0.3945,0.0003945,349.9MB,19839,,
2021-01-10,dp9,mjw548,356.0GB,356.0,0.356,356.0GB,113,,
2021-01-10,dp9,mrd599,1.0GB,1.0,0.001,1.0GB,19,,admin
2021-01-10,dp9,cjb548,67.2GB,67.2,0.0672,67.2GB,29980,,b
2021-01-10,dp9,ycx548,8.3TB,0.0083,8.3,8.6TB,2422563,,aps4
2021-01-10,dp9,yxm548,1.7TB,0.0017,1.7,1.7TB,147106,,notsure
2021-01-10,dp9,glr548,8.4TB,0.0084,8.4,8.4TB,1887150,,apept
2021-01-10,dp9,cnf599,5.1TB,0.0050999999999999,5.1,5.7TB,196442,,urban
2021-01-10,dp9,ljr548,331.3GB,331.3,0.3313,331.0GB,107833,,
2021-01-10,dp9,hhz548,15.3TB,0.0153,15.3,18.3TB,1447591,,notsure
2021-01-10,dp9,zxs548,417.3GB,417.3,0.4173,413.7GB,1075030,,notsure
2021-01-10,dp9,mjn548,1007.4GB,1007.4,1.0074,990.9GB,3373653,,
2021-01-10,dp9,jtl548,1.8TB,0.0018,1.8,1.8TB,2013888,,c3
2021-01-10,dp9,iib548,1.5TB,0.0015,1.5,1.5TB,2734480,,aps4
2021-01-10,dp9,hqz548,151.1GB,151.1,0.1510999999999999,151.1GB,287,,
2021-01-10,dp9,rmb548,4.0kB,4e-06,4e-09,4.0kB,1,,
2021-01-10,dp9,zhl548,342.5GB,342.5,0.3425,342.1GB,160459,,
2021-01-10,dp9,ixd548,1.6TB,0.0016,1.6,1.6TB,459979,,notsure
2021-01-10,dp9,wml548,2.6TB,0.0026,2.6,2.6TB,368973,,admin
2021-01-10,dp9,bxr548,367.2MB,0.3671999999999999,0.0003672,367.1MB,75,,
2021-01-10,dp9,ttl548,96.5GB,96.5,0.0965,94.7GB,343619,,c3
2021-01-10,dp9,pjs548,41.9GB,41.9,0.0419,41.7GB,98863,,aps4
2021-01-10,dp9,gsd548,3.1TB,0.0031,3.1,3.1TB,351552,,
2021-01-10,dp9,sjr548,2.5TB,0.0025,2.5,2.5TB,2587582,,c3
2021-01-10,dp9,vvk548,4.2TB,0.0042,4.2,4.2TB,1111072,,urban
2021-01-10,dp9,xds548,2.1TB,0.0021,2.1,2.1TB,207618,,
2021-01-10,dp9,cit548,2.6TB,0.0026,2.6,2.6TB,217326,,
2021-01-10,dp9,slc548,202.1GB,202.1,0.2021,202.0GB,133923,,c3
2021-01-10,dp9,jrf548,700.8GB,700.8,0.7008,700.3GB,207494,,
2021-01-10,dp9,sss548,65.2GB,65.2,0.0652,66.7GB,5780,,
2021-01-10,dp9,axs548,7.7GB,7.7,0.0077,7.7GB,2993,,
2021-01-10,dp9,ffb548,64.0kB,6.4e-05,6.4e-08,64.0kB,16,,
2021-01-10,dp9,dhs548,8.0kB,8e-06,8e-09,8.0kB,2,,
2021-01-10,dp9,kkp548,465.3GB,465.3,0.4653,465.3GB,513,,
2021-01-10,dp9,ijb548,4.0kB,4e-06,4e-09,4.0kB,1,,
2021-01-10,dp9,nwe548,13.6GB,13.6,0.0136,13.7GB,45212,,
2021-01-10,dp9,chs548,209.1GB,209.1,0.2091,228.1GB,62720,,urban
2021-01-10,dp9,mxk548,3.3TB,0.0033,3.3,3.4TB,798961,,aps4
2021-01-10,dp9,fs5892,7.6GB,7.6,0.0076,7.1GB,124534,,
2021-01-10,dp9,as2291,2.0TB,0.002,2.0,2.0TB,1100643,,notsure
2021-01-10,dp9,jb6931,332.1MB,0.3321,0.0003321,332.1MB,2,,
2021-01-10,dp9,bf7468,1.8MB,0.0018,1.8e-06,1.8MB,2,,
2021-01-10,dp9,dr8819,213.9GB,213.9,0.2139,212.9GB,189479,,
2021-01-10,dp9,nt4021,4.0kB,4e-06,4e-09,4.0kB,1,,
2020-11-11,dp9,mjw548,356.0GB,356.0,0.356,356.0GB,113,,
2020-11-11,dp9,mrd599,1.0GB,1.0,0.001,1.0GB,19,,admin
2020-11-11,dp9,cjb548,67.2GB,67.2,0.0672,67.2GB,29980,,b
2020-11-11,dp9,ycx548,9.2TB,0.0092,9.2,9.4TB,3550277,,aps4
2020-11-11,dp9,yxm548,1.7TB,0.0017,1.7,1.7TB,147106,,notsure
2020-11-11,dp9,glr548,9.4TB,0.0094,9.4,9.4TB,1900259,,apept
2020-11-11,dp9,cnf599,5.1TB,0.0050999999999999,5.1,5.7TB,196442,,urban
2020-11-11,dp9,ljr548,331.3GB,331.3,0.3313,331.0GB,107830,,
2020-11-11,dp9,hhz548,16.3TB,0.0163,16.3,19.3TB,1540005,,notsure
2020-11-11,dp9,zxs548,406.6GB,406.6,0.4066,403.3GB,924048,,notsure
2020-11-11,dp9,mjn548,1007.3GB,1007.3,1.0073,990.8GB,3346164,,
2020-11-11,dp9,jtl548,5.6TB,0.0056,5.6,5.6TB,3772316,,c3
2020-11-11,dp9,iib548,1.5TB,0.0015,1.5,1.5TB,2731156,,aps4
2020-11-11,dp9,hqz548,151.1GB,151.1,0.1510999999999999,151.1GB,287,,
2020-11-11,dp9,rmb548,4.0kB,4e-06,4e-09,4.0kB,1,,
2020-11-11,dp9,zhl548,342.5GB,342.5,0.3425,342.1GB,160459,,
2020-11-11,dp9,ixd548,1.6TB,0.0016,1.6,1.6TB,458214,,notsure
2020-11-11,dp9,wml548,2.6TB,0.0026,2.6,2.6TB,368856,,admin
2020-11-11,dp9,bxr548,367.2MB,0.3671999999999999,0.0003672,367.1MB,75,,
2020-11-11,dp9,ttl548,96.5GB,96.5,0.0965,94.7GB,343619,,c3
2020-11-11,dp9,pjs548,41.9GB,41.9,0.0419,41.7GB,98873,,aps4
2020-11-11,dp9,gsd548,3.1TB,0.0031,3.1,3.1TB,351512,,
2020-11-11,dp9,sjr548,2.5TB,0.0025,2.5,2.5TB,2542034,,c3
2020-11-11,dp9,vvk548,3.1TB,0.0031,3.1,3.1TB,1089677,,urban
2020-11-11,dp9,xds548,2.1TB,0.0021,2.1,2.2TB,207658,,
2020-11-11,dp9,cit548,3.8TB,0.0038,3.8,3.8TB,226039,,
2020-11-11,dp9,slc548,198.3GB,198.3,0.1983,198.2GB,132735,,c3
2020-11-11,dp9,jrf548,2.1TB,0.0021,2.1,2.2TB,333563,,
2020-11-11,dp9,sss548,65.2GB,65.2,0.0652,66.7GB,5780,,
2020-11-11,dp9,axs548,7.7GB,7.7,0.0077,7.7GB,2993,,
2020-11-11,dp9,ffb548,64.0kB,6.4e-05,6.4e-08,64.0kB,16,,
2020-11-11,dp9,dhs548,8.0kB,8e-06,8e-09,8.0kB,2,,
2020-11-11,dp9,kkp548,465.3GB,465.3,0.4653,465.3GB,513,,
2020-11-11,dp9,ijb548,4.0kB,4e-06,4e-09,4.0kB,1,,
2020-11-11,dp9,nwe548,13.6GB,13.6,0.0136,13.7GB,45212,,
2020-11-11,dp9,chs548,209.1GB,209.1,0.2091,228.1GB,62720,,urban
2020-11-11,dp9,mxk548,5.1TB,0.0050999999999999,5.1,5.1TB,785036,,aps4
2020-11-11,dp9,fs5892,11.8TB,0.0118,11.8,13.1TB,442011,,
2020-11-11,dp9,as2291,1.8TB,0.0018,1.8,1.8TB,1074517,,notsure
2020-11-11,dp9,jb6931,332.1MB,0.3321,0.0003321,332.1MB,2,,
2020-11-11,dp9,bf7468,1.8MB,0.0018,1.8e-06,1.8MB,2,,
2020-11-11,dp9,dr8819,213.9GB,213.9,0.2139,212.9GB,189479,,
2020-11-11,dp9,nt4021,4.0kB,4e-06,4e-09,4.0kB,1,,
2020-04-14,dp9,cnf599,42.1TB,0.0421,42.1,48.5TB,258732,,urban
2020-04-14,dp9,bxr548,367MB,0.367,0.000367,367MB,75,,
2020-04-14,dp9,iib548,3276GB,3276.0,3.276,3871GB,1107408,,aps4
2020-04-14,dp9,ttl548,96.5GB,96.5,0.0965,94.7GB,343620,,c3
2020-04-14,dp9,slc548,198GB,198.0,0.198,198GB,132658,,c3
2020-04-14,dp9,ycx548,9428GB,9428.0,9.428,9666GB,3522006,,aps4
2020-04-14,dp9,xbw554,16.0kB,1.6e-05,1.6e-08,16.0kB,2,,
2020-04-14,dp9,chs548,198GB,198.0,0.198,217GB,8957,,urban
2020-04-14,dp9,nt4021,4.0kB,4e-06,4e-09,4.0kB,1,,
2020-04-14,dp9,dr8819,214GB,214.0,0.214,213GB,188760,,
2020-04-14,dp9,sl8973,65.1GB,65.1,0.0650999999999999,65.0GB,51901,,
2020-04-14,dp9,dhs548,12.0kB,1.2e-05,1.2e-08,12.0kB,3,,
2020-04-14,dp9,hhn548,4.0kB,4e-06,4e-09,4.0kB,1,,
2020-04-14,dp9,hhz548,18.0TB,0.018,18.0,21.0TB,1622321,,notsure
2020-04-14,dp9,mrd599,1025MB,1.025,0.001025,1025MB,19,,admin
2020-04-14,dp9,mjn548,1609GB,1609.0,1.609,1578GB,9553273,,
2020-04-14,dp9,tc2375,116GB,116.0,0.116,116GB,53,,
2020-04-14,dp9,rmb548,4.0kB,4e-06,4e-09,4.0kB,1,,
2020-04-14,dp9,jb6931,332MB,0.332,0.000332,332MB,2,,
2020-04-14,dp9,fs5892,11.8TB,0.0118,11.8,13.1TB,134452,,
2020-04-14,dp9,ffb548,64.0kB,6.4e-05,6.4e-08,64.0kB,16,,
2020-04-14,dp9,wml548,2420GB,2420.0,2.42,2434GB,286772,,admin
2020-04-14,dp9,sss548,65.2GB,65.2,0.0652,66.7GB,5780,,
2020-04-14,dp9,axs548,7915MB,7.915,0.007915,7909MB,2993,,
2020-04-14,dp9,glr548,2205GB,2205.0,2.205,2242GB,1378050,,apept
2020-04-14,dp9,jrf548,1994GB,1994.0,1.994,2000GB,333311,,
2020-04-14,dp9,zhl548,342GB,342.0,0.342,342GB,160459,,
2020-04-14,dp9,mjw548,357GB,357.0,0.357,357GB,22251,,
2020-04-14,dp9,sjr548,1689GB,1689.0,1.689,1723GB,1516821,,c3
2020-04-14,dp9,gxk548,101GB,101.0,0.101,101GB,19476,,
2020-04-14,dp9,pjs548,22.7GB,22.7,0.0226999999999999,22.7GB,35121,,aps4
2020-04-14,dp9,xds548,2183GB,2183.0,2.183,2220GB,186172,,
2020-04-14,dp9,nwe548,1361MB,1.361,0.001361,1357MB,42578,,
2020-04-14,dp9,vvk548,4313GB,4313.0,4.313,4343GB,1407897,,urban
2020-04-14,dp9,yxm548,5423GB,5423.0,5.423,5524GB,148487,,notsure
2020-04-14,dp9,cit548,3756GB,3756.0,3.756,3756GB,120347,,
2020-04-14,dp9,ljr548,565GB,565.0,0.565,565GB,110650,,
2020-04-14,dp9,as2291,422GB,422.0,0.422,420GB,310200,,notsure
2020-04-14,dp9,gsd548,3130GB,3130.0,3.13,3135GB,383328,,
2020-04-14,dp9,pag548,80.7GB,80.7,0.0807,80.7GB,598,,
2020-04-14,dp9,cjb548,67.2GB,67.2,0.0672,67.2GB,29980,,b
2020-04-14,dp9,hqz548,151GB,151.0,0.151,151GB,287,,
2020-04-14,dp9,cs0369,152GB,152.0,0.152,152GB,6022,,
2020-04-14,dp9,zxs548,642GB,642.0,0.642,639GB,881601,,notsure
2020-04-14,dp9,mxk548,6932GB,6932.0,6.932,7149GB,705370,,aps4
2020-04-14,dp9,tjg548,4.0kB,4e-06,4e-09,4.0kB,1,,
2020-04-14,dp9,bf7468,1836kB,0.001836,1.836e-06,1832kB,2,,
2020-04-14,dp9,jtl548,62.9TB,0.0629,62.9,65.7TB,5196482,,c3
2020-04-14,dp9,ijb548,4.0kB,4e-06,4e-09,4.0kB,1,,
2020-04-14,dp9,ixd548,1099GB,1099.0,1.099,1098GB,471711,,notsure
2020-04-14,dp9,kkp548,465GB,465.0,0.465,465GB,513,,
2021-05-15,dp9,mjw548,356.0GB,356.0,0.356,356.0GB,113,,
2021-05-15,dp9,mrd599,10.6GB,10.6,0.0106,10.6GB,175,,admin
2021-05-15,dp9,cjb548,67.2GB,67.2,0.0672,67.2GB,29980,,b
2021-05-15,dp9,ycx548,962.2GB,962.2,0.9622,961.8GB,205723,,aps4
2021-05-15,dp9,yxm548,1.7TB,0.0017,1.7,1.7TB,147106,,notsure
2021-05-15,dp9,glr548,6.9TB,0.0069,6.9,7.0TB,2485364,,apept
2021-05-15,dp9,cnf599,8.7TB,0.0087,8.7,8.7TB,227982,,urban
2021-05-15,dp9,ljr548,331.2GB,331.2,0.3312,331.0GB,107833,,
2021-05-15,dp9,hhz548,18.9TB,0.0189,18.9,18.9TB,1450020,,notsure
2021-05-15,dp9,zxs548,429.8GB,429.8,0.4298,427.9GB,1276873,,notsure
2021-05-15,dp9,mjn548,999.7GB,999.7,0.9997,991.2GB,3396907,,
2021-05-15,dp9,jtl548,4.8TB,0.0048,4.8,4.8TB,3011148,,c3
2021-05-15,dp9,iib548,2.6TB,0.0026,2.6,2.6TB,3282188,,aps4
2021-05-15,dp9,hqz548,151.1GB,151.1,0.1510999999999999,151.1GB,287,,
2021-05-15,dp9,rmb548,4.0kB,4e-06,4e-09,4.0kB,1,,
2021-05-15,dp9,zhl548,346.4GB,346.4,0.3464,346.1GB,160712,,
2021-05-15,dp9,ixd548,2.4TB,0.0024,2.4,2.4TB,525108,,notsure
2021-05-15,dp9,wml548,2.6TB,0.0026,2.6,2.6TB,366288,,admin
2021-05-15,dp9,bxr548,252.0GB,252.0,0.252,252.0GB,177,,
2021-05-15,dp9,ttl548,138.0GB,138.0,0.138,137.3GB,343629,,c3
2021-05-15,dp9,pjs548,19.8GB,19.8,0.0198,19.6GB,72879,,aps4
2021-05-15,dp9,gsd548,9.3GB,9.3,0.0093,9.0GB,173426,,
2021-05-15,dp9,sjr548,2.8TB,0.0028,2.8,2.8TB,2844468,,c3
2021-05-15,dp9,vvk548,13.7TB,0.0137,13.7,13.7TB,1497893,,urban
2021-05-15,dp9,xds548,2.1TB,0.0021,2.1,2.1TB,207617,,
2021-05-15,dp9,cit548,2.6TB,0.0026,2.6,2.6TB,217481,,
2021-05-15,dp9,slc548,478.6GB,478.6,0.4786,478.2GB,176804,,c3
2021-05-15,dp9,jrf548,755.1GB,755.1,0.7551,754.6GB,207581,,
2021-05-15,dp9,sss548,66.7GB,66.7,0.0667,66.7GB,5780,,
2021-05-15,dp9,axs548,7.7GB,7.7,0.0077,7.7GB,2993,,
2021-05-15,dp9,ffb548,64.0kB,6.4e-05,6.4e-08,64.0kB,16,,
2021-05-15,dp9,dhs548,8.0kB,8e-06,8e-09,8.0kB,2,,
2021-05-15,dp9,kkp548,465.3GB,465.3,0.4653,465.3GB,513,,
2021-05-15,dp9,ijb548,4.0kB,4e-06,4e-09,4.0kB,1,,
2021-05-15,dp9,nwe548,13.7GB,13.7,0.0136999999999999,13.6GB,45209,,
2021-05-15,dp9,chs548,227.7GB,227.7,0.2276999999999999,227.6GB,59913,,urban
2021-05-15,dp9,yxz548,71.8MB,0.0718,7.18e-05,71.8MB,8,,
2021-05-15,dp9,mxk548,4.1TB,0.0040999999999999,4.1,4.1TB,903645,,aps4
2021-05-15,dp9,fs5892,16.9GB,16.9,0.0169,16.3GB,287955,,
2021-05-15,dp9,as2291,1.6TB,0.0016,1.6,1.6TB,1070816,,notsure
2021-05-15,dp9,jb6931,332.1MB,0.3321,0.0003321,332.1MB,2,,
2021-05-15,dp9,dl9118,23.7GB,23.7,0.0237,23.6GB,25577,,ngms
2021-05-15,dp9,bf7468,4.0kB,4e-06,4e-09,4.0kB,2,,
2021-05-15,dp9,dr8819,73.6GB,73.6,0.0736,72.9GB,348147,,
2021-05-15,dp9,nt4021,4.0kB,4e-06,4e-09,4.0kB,1,,
2021-05-15,dp9,sb0446,152.9GB,152.9,0.1529,152.8GB,7172,,
2021-05-15,dp9,gl7525,394.5MB,0.3945,0.0003945,349.9MB,19839,,
2021-03-31,dp9,mjw548,356.0GB,356.0,0.356,356.0GB,113,,
2021-03-31,dp9,mrd599,10.6GB,10.6,0.0106,10.6GB,175,,admin
2021-03-31,dp9,cjb548,67.2GB,67.2,0.0672,67.2GB,29980,,b
2021-03-31,dp9,ycx548,962.2GB,962.2,0.9622,961.8GB,205558,,aps4
2021-03-31,dp9,yxm548,1.7TB,0.0017,1.7,1.7TB,147106,,notsure
2021-03-31,dp9,glr548,6.9TB,0.0069,6.9,6.9TB,2289159,,apept
2021-03-31,dp9,cnf599,8.2TB,0.0081999999999999,8.2,8.2TB,211996,,urban
2021-03-31,dp9,ljr548,331.2GB,331.2,0.3312,331.0GB,107833,,
2021-03-31,dp9,hhz548,18.4TB,0.0184,18.4,18.4TB,1447717,,notsure
2021-03-31,dp9,zxs548,427.9GB,427.9,0.4279,426.1GB,1245474,,notsure
2021-03-31,dp9,mjn548,999.6GB,999.6,0.9996,991.0GB,3395123,,
