2020-09-19,dp9,as2291,1639GB,1639.0,1.639,1636GB,1073590,
2020-09-19,dp9,zhl548,342GB,342.0,0.342,342GB,160459,
2020-09-19,dp9,yxm548,1694GB,1694.0,1.694,1733GB,147106,
2020-09-19,dp9,jtl548,16.9TB,0.0169,16.9,18.1TB,3329269,
2020-09-19,dp9,hqz548,151GB,151.0,0.151,151GB,287,
2020-09-19,dp9,ixd548,1615GB,1615.0,1.615,1614GB,503722,
2020-09-19,dp9,glr548,5246GB,5246.0,5.246,5295GB,2027677,
2020-09-19,dp9,wml548,2606GB,2606.0,2.606,2623GB,367149,
2020-09-19,dp9,zxs548,405GB,405.0,0.405,402GB,867355,
2020-09-19,dp9,dr8819,214GB,214.0,0.214,213GB,189479,
2020-09-19,dp9,ycx548,9428GB,9428.0,9.428,9666GB,3522004,
2020-09-19,dp9,iib548,1268GB,1268.0,1.268,1282GB,2658491,
2020-09-19,dp9,nwe548,13.6GB,13.6,0.0136,13.7GB,45217,
2020-09-19,dp9,gsd548,3280GB,3280.0,3.28,3279GB,431850,
2020-09-19,dp9,ijb548,4.0kB,4e-06,4e-09,4.0kB,1,
2020-09-19,dp9,chs548,211GB,211.0,0.211,230GB,65080,
2021-05-13,dp9,mjw548,356.0GB,356.0,0.356,356.0GB,113,
2021-05-13,dp9,mrd599,10.6GB,10.6,0.0106,10.6GB,175,
2021-05-13,dp9,cjb548,67.2GB,67.2,0.06720000000000001,67.2GB,29980,
2021-05-13,dp9,ycx548,962.2GB,962.2,0.9622,961.8GB,205723,
2021-05-13,dp9,yxm548,1.7TB,0.0017,1.7,1.7TB,147106,
2021-05-13,dp9,glr548,6.9TB,0.006900000000000001,6.9,7.0TB,2454158,
2021-05-13,dp9,cnf599,8.7TB,0.0087,8.7,8.7TB,214146,
2021-05-13,dp9,ljr548,331.2GB,331.2,0.3312,331.0GB,107833,
2021-05-13,dp9,hhz548,18.9TB,0.0189,18.9,18.9TB,1448121,
2021-05-13,dp9,zxs548,429.8GB,429.8,0.4298,427.9GB,1274833,
2021-05-13,dp9,mjn548,999.7GB,999.7,0.9997,991.2GB,3396907,
2021-05-13,dp9,jtl548,4.8TB,0.0048,4.8,4.8TB,3014783,
2021-05-13,dp9,iib548,2.4TB,0.0024,2.4,2.5TB,3281109,
2021-05-13,dp9,hqz548,151.1GB,151.1,0.15109999999999998,151.1GB,287,
2021-05-13,dp9,rmb548,4.0kB,4e-06,4e-09,4.0kB,1,
2021-05-13,dp9,zhl548,346.4GB,346.4,0.3464,346.1GB,160712,
2021-05-13,dp9,ixd548,2.4TB,0.0024,2.4,2.4TB,525076,
2021-05-13,dp9,wml548,2.6TB,0.0026000000000000003,2.6,2.6TB,366288,
2021-05-13,dp9,bxr548,252.0GB,252.0,0.252,252.0GB,177,
2021-05-13,dp9,ttl548,138.0GB,138.0,0.138,137.3GB,343629,
2021-05-13,dp9,pjs548,19.8GB,19.8,0.0198,19.6GB,72879,
2021-05-13,dp9,gsd548,9.3GB,9.3,0.009300000000000001,9.0GB,173426,
2021-05-13,dp9,sjr548,2.8TB,0.0028,2.8,2.8TB,2844468,
2021-05-13,dp9,vvk548,13.7TB,0.0137,13.7,13.7TB,1497891,
2021-05-13,dp9,xds548,2.1TB,0.0021000000000000003,2.1,2.1TB,207617,
2021-05-13,dp9,cit548,2.6TB,0.0026000000000000003,2.6,2.6TB,217472,
2021-05-13,dp9,slc548,478.6GB,478.6,0.4786,478.2GB,176805,
2021-05-13,dp9,jrf548,755.1GB,755.1,0.7551,754.6GB,207581,
2021-05-13,dp9,sss548,66.7GB,66.7,0.06670000000000001,66.7GB,5780,
2021-05-13,dp9,axs548,7.7GB,7.7,0.0077,7.7GB,2993,
2021-05-13,dp9,ffb548,64.0kB,6.4e-05,6.4e-08,64.0kB,16,
2021-05-13,dp9,dhs548,8.0kB,8e-06,8e-09,8.0kB,2,
2021-05-13,dp9,kkp548,465.3GB,465.3,0.4653,465.3GB,513,
2021-05-13,dp9,ijb548,4.0kB,4e-06,4e-09,4.0kB,1,
2021-05-13,dp9,nwe548,13.7GB,13.7,0.013699999999999999,13.6GB,45209,
2021-05-13,dp9,chs548,227.7GB,227.7,0.22769999999999999,227.6GB,59913,
2021-05-13,dp9,yxz548,71.8MB,0.0718,7.18e-05,71.8MB,8,
2021-05-13,dp9,mxk548,4.1TB,0.0040999999999999995,4.1,4.1TB,902523,
2021-05-13,dp9,fs5892,16.9GB,16.9,0.0169,16.3GB,287955,
2021-05-13,dp9,as2291,1.2TB,0.0012,1.2,1.2TB,1095242,
2021-05-13,dp9,jb6931,332.1MB,0.3321,0.00033210000000000005,332.1MB,2,
2021-05-13,dp9,dl9118,23.7GB,23.7,0.0237,23.6GB,25559,
2021-05-13,dp9,bf7468,4.0kB,4e-06,4e-09,4.0kB,2,
2021-05-13,dp9,dr8819,73.6GB,73.6,0.0736,72.9GB,348147,
2021-05-13,dp9,nt4021,4.0kB,4e-06,4e-09,4.0kB,1,
2021-05-13,dp9,sb0446,152.9GB,152.9,0.1529,152.8GB,7172,
2021-05-13,dp9,gl7525,394.5MB,0.3945,0.0003945,349.9MB,19839,
2021-01-10,dp9,mjw548,356.0GB,356.0,0.356,356.0GB,113,
2021-01-10,dp9,mrd599,1.0GB,1.0,0.001,1.0GB,19,
